Ticker,Price,NAV,P/NAV,Gearing,WALEGRI,WALENLA,Interest
C2PU,3.36,1.976470588,1.7,38.5,6.4,,14.1
AW9U,0.72,1.028571429,0.7,34.5,,,5
HMN,0.995,1.24375,0.8,35.4,,,4.3
J85,1.05,1.5,0.7,37.4,,,3.3
ACV,0.475,0.6785714286,0.7,36,,,4.4
Q5T,0.52,0.8666666667,0.6,39.5,,,3
LIW,NA,NA,NA,37.3,,,2.8
XZL,0.39,0.975,0.4,41,,,NA
C38U,2.04,2.04,1,33.3,2.2,,4.3
J69U,2.41,2.190909091,1.1,37.4,1.8,1.8,4.9
SK6U,0.875,1.09375,0.8,29.3,2.7,4,5.7
P40U,0.52,0.8666666667,0.6,36.7,5.7,8.9,3.6
AU8U,1.28,1.6,0.8,35.8,2.3,3.7,4.4
CRPU,0.775,0.96875,0.8,28.5,1,2.9,4.8
D5IU,0.137,0.2283333333,0.6,42.1,,3.9,3.7
CEDU,0.78,1.3,0.6,36.5,,,2.4
BMGU,0.615,0.8785714286,0.7,35.3,3.7,6.4,3.2
ODBU,0.58,NA,NA,37,,,0
C61U,1.79,1.79,1,35.5,,5.8,4.5
K71U,1.1,1.375,0.8,36.2,,,1
BTOU,0.745,0.8277777778,0.9,37.7,,5.7,3.8
OXMU,0.795,0.8833333333,0.9,33.7,,,NA
CMOU,0.68,0.7555555556,0.9,36.9,5.4,5.3,4.2
UD1U,0.745,0.8277777778,0.9,38,,,NA
MXNU,0.69,0.6096,NA,32.8,,,NA
A17U,3.27,2.04375,1.6,36.2,,,4.2
M44U,2.03,1.194117647,1.7,39.3,,4.3,4.8
ME8U,2.99,1.661111111,1.8,37.6,4.2,,6.4
BUOU,1.23,1.025,1.2,35,5.3,,6.4
AJBU,2.64,1.147826087,2.3,32.2,,8.3,9.2
J91U,0.39,0.4333333333,0.9,41.7,3.6,,3.3
O5RU,1.2,1.333333333,0.9,33,,,4
K2LU,0.6,0.6,1,40.8,2.9,2.9,3.5
BWCU,0.65,0.9285714286,0.7,38.6,3.8,,2.5
SV3U,0.41,0.5857142857,0.7,38.5,3.4,,3.4
M1GU,0.36,0.6,0.6,31.5,,2.9,2.8
N2IU,1.94,1.763636364,1.1,33.3,2.6,,4.5
T82U,1.45,2.071428571,0.7,39.9,,2.7,1.7
RW0U,0.4,0.5714285714,0.7,39.3,2.7,,2.8
TS0U,0.93,1.328571429,0.7,40.2,2.1,2.4,3.4
CNNU,0.43,0.5375,0.8,38.9,3.7,,5.5
JYEU,0.655,0.8161,NA,35.9,9.9,,NA
